provider,category,uuid,dimension_a,dimension_b,price,weight,material,finishing,palette,main_color,main_color_frequency,img_info_percentage
catna,azulejo portugues,9c207109-a042-436f-a457-33b82a2a3a41,35.99,21.09,25.28,1.05,ceramic,matt,"[array([82.  , 72.  , 78.  ,  0.15]), array([116.  , 123.  , 138.  ,   0.24]), array([1.86e+02, 1.49e+02, 1.01e+02, 1.40e-01]), array([164.  , 168.  , 177.  ,   0.25]), array([214.  , 214.  , 210.  ,   0.22])]",[164. 168. 177.],0.25,0.998
catna,azulejo portugues,4674bc87-ac50-4db5-9ff2-cb3c22d215e8,26.06,32.86,10.79,0.2,stone,gloss,"[array([10.  ,  9.  , 81.  ,  0.22]), array([7.20e+01, 7.10e+01, 1.11e+02, 8.00e-02]), array([1.32e+02, 1.32e+02, 1.63e+02, 8.00e-02]), array([1.92e+02, 1.92e+02, 2.13e+02, 1.00e-01]), array([246.  , 247.  , 247.  ,   0.52])]",[246. 247. 247.],0.52,0.995
catna,azulejo portugues,2b0a2516-c121-4361-a26f-1ce27a940fea,38.79,42.24,45.08,1.04,stone,matt,"[array([16.  , 32.  , 89.  ,  0.19]), array([97.  , 95.  , 97.  ,  0.15]), array([9.00e+00, 1.54e+02, 2.32e+02, 2.30e-01]), array([165.  , 154.  , 144.  ,   0.22]), array([2.22e+02, 2.31e+02, 2.13e+02, 2.10e-01])]",[  9. 154. 232.],0.23,0.997
catna,azulejo portugues,f6b08401-4f94-4c4e-a7f9-36b55fe0c3bf,31.6,25.85,34.52,0.75,terracotta,gloss,"[array([47.  , 63.  , 71.  ,  0.18]), array([4.00e+01, 9.70e+01, 1.56e+02, 1.40e-01]), array([171.  , 157.  , 107.  ,   0.18]), array([193.  , 194.  , 187.  ,   0.31]), array([2.41e+02, 2.37e+02, 2.22e+02, 1.90e-01])]",[193. 194. 187.],0.31,0.998
catna,azulejo portugues,b1d2d9d7-d4c5-4141-9897-2a33be90e040,15.95,31.73,46.43,0.72,stone,gloss,"[array([ 5.  , 23.  , 69.  ,  0.49]), array([6.10e+01, 7.20e+01, 1.01e+02, 9.00e-02]), array([1.18e+02, 1.27e+02, 1.49e+02, 8.00e-02]), array([1.80e+02, 1.88e+02, 2.01e+02, 9.00e-02]), array([244.  , 247.  , 247.  ,   0.25])]",[ 5. 23. 69.],0.49,0.996
catna,azulejo portugues,8654fdaa-60bc-4794-abfa-e51fe0f9a7ab,30.46,26.54,32.96,0.29,terracotta,gloss,"[array([ 75.  ,  85.  , 120.  ,   0.12]), array([123.  , 133.  , 159.  ,   0.19]), array([166.  , 174.  , 192.  ,   0.23]), array([208.  , 212.  , 220.  ,   0.33]), array([2.42e+02, 2.43e+02, 2.45e+02, 1.20e-01])]",[208. 212. 220.],0.33,0.998
catna,azulejo portugues,79beee6b-1651-42c0-b5f6-bc236433f6e9,23.21,43.21,34.61,1.39,limestone,matt,"[array([5.40e+01, 7.30e+01, 1.32e+02, 1.20e-01]), array([8.30e+01, 1.02e+02, 1.59e+02, 1.30e-01]), array([1.37e+02, 1.49e+02, 1.83e+02, 8.00e-02]), array([1.89e+02, 1.96e+02, 2.10e+02, 1.30e-01]), array([232.  , 234.  , 232.  ,   0.54])]",[232. 234. 232.],0.54,0.998
catna,azulejo portugues,39b71692-5867-4e23-a866-68d3ee569dd4,53.86,22.6,47.53,1.08,porcelain,gloss,"[array([30.  , 37.  , 65.  ,  0.18]), array([1.87e+02, 2.50e+01, 3.50e+01, 1.30e-01]), array([ 67.  , 126.  , 106.  ,   0.18]), array([226.  , 181.  ,  57.  ,   0.27]), array([230.  , 227.  , 213.  ,   0.24])]",[226. 181.  57.],0.27,0.997
catna,azulejo portugues,9d1a011d-79df-4d19-ac03-9682c71e787d,35.23,6.05,8.29,1.12,quartz,matt,"[array([65.  , 61.  , 85.  ,  0.22]), array([1.81e+02, 8.60e+01, 1.00e+02, 1.50e-01]), array([122. , 171. , 173. ,   0.3]), array([2.17e+02, 1.68e+02, 1.31e+02, 1.00e-01]), array([2.24e+02, 2.29e+02, 2.30e+02, 2.20e-01])]",[122. 171. 173.],0.3,0.998
catna,azulejo portugues,8690381f-787d-4532-a35e-a888de7f3fc5,9.01,20.93,7.13,1.13,marble,gloss,"[array([3.40e+01, 5.80e+01, 1.14e+02, 8.00e-02]), array([ 85.  , 108.  , 153.  ,   0.19]), array([128.  , 146.  , 182.  ,   0.24]), array([168.  , 181.  , 207.  ,   0.25]), array([212.  , 217.  , 227.  ,   0.24])]",[168. 181. 207.],0.25,0.998
catna,azulejo portugues,75a6cc3d-fb78-4e33-8ff2-48d9c17534ac,12.65,27.71,48.23,0.66,wood,gloss,"[array([35.  , 38.  , 40.  ,  0.14]), array([74. , 86. , 97. ,  0.2]), array([131.  , 127.  , 113.  ,   0.33]), array([168.  , 166.  , 152.  ,   0.26]), array([2.21e+02, 2.22e+02, 2.13e+02, 7.00e-02])]",[131. 127. 113.],0.33,0.998
catna,azulejo portugues,9af597e4-62ba-44ee-93fe-bd176d3a5596,6.83,21.2,30.59,0.88,quartz,matt,"[array([43.  , 25.  , 19.  ,  0.13]), array([104.  ,  75.  ,  56.  ,   0.27]), array([144.  , 106.  ,  76.  ,   0.29]), array([170.  , 139.  , 110.  ,   0.27]), array([2.05e+02, 1.93e+02, 1.76e+02, 5.00e-02])]",[144. 106.  76.],0.29,0.998
catna,azulejo portugues,e139b0f6-5968-4a38-bd1d-bc6ffcbfec08,35.48,22.01,32.01,0.6,granite,gloss,"[array([101.  ,  82.  ,  72.  ,   0.19]), array([138.  , 121.  , 110.  ,   0.18]), array([163.  , 153.  , 150.  ,   0.17]), array([197. , 188. , 184. ,   0.2]), array([223.  , 219.  , 222.  ,   0.26])]",[223. 219. 222.],0.26,0.998
catna,azulejo portugues,87144e9e-288a-47e6-8cac-830b7b483eba,20.76,26.32,23.56,1.58,ceramic,matt,"[array([44. , 46. , 74. ,  0.2]), array([ 77.  ,  87.  , 132.  ,   0.19]), array([129. , 142. , 168. ,   0.2]), array([180.  , 191.  , 206.  ,   0.21]), array([2.27e+02, 2.34e+02, 2.41e+02, 2.10e-01])]",[180. 191. 206.],0.21,0.9940000000000001
catna,azulejo portugues,2fb32f5c-a027-4649-8c56-fe841db3320c,5.15,21.28,30.74,0.32,granite,gloss,"[array([7.50e+01, 8.70e+01, 1.41e+02, 1.00e-01]), array([1.31e+02, 1.37e+02, 1.66e+02, 1.20e-01]), array([1.72e+02, 1.76e+02, 1.94e+02, 1.30e-01]), array([217.  , 216.  , 215.  ,   0.51]), array([2.39e+02, 2.39e+02, 2.41e+02, 1.40e-01])]",[217. 216. 215.],0.51,0.998
catna,azulejo portugues,a9d21c57-fb84-4f91-aac1-2b9f2a91492f,36.75,35.96,37.54,0.63,stone,matt,"[array([50.  , 53.  , 95.  ,  0.27]), array([ 84.  ,  88.  , 127.  ,   0.19]), array([1.89e+02, 1.36e+02, 7.60e+01, 8.00e-02]), array([1.61e+02, 1.65e+02, 1.82e+02, 1.00e-01]), array([218.  , 220.  , 225.  ,   0.36])]",[218. 220. 225.],0.36,0.997
catna,azulejo portugues,810e99dd-cf1f-44b8-854c-536fd7f74157,43.4,41.93,22.76,0.49,terracotta,gloss,"[array([34.  , 24.  , 53.  ,  0.12]), array([ 80.  ,  93.  , 141.  ,   0.16]), array([1.74e+02, 8.90e+01, 4.10e+01, 1.50e-01]), array([164.  , 164.  , 164.  ,   0.29]), array([220.  , 219.  , 219.  ,   0.28])]",[164. 164. 164.],0.29,0.998
catna,azulejo portugues,59e23a11-da87-4707-ad24-4d8da46e55ea,36.42,13.69,1.55,0.85,porcelain,matt,"[array([37.  , 35.  , 58.  ,  0.07]), array([ 79.  ,  87.  , 126.  ,   0.14]), array([135.  , 141.  , 162.  ,   0.18]), array([195.  , 190.  , 183.  ,   0.24]), array([220.  , 216.  , 207.  ,   0.37])]",[220. 216. 207.],0.37,0.998
catna,azulejo portugues,ea764529-6c15-4934-8bdc-7a2927cd707b,17.47,18.94,32.18,0.65,marble,matt,"[array([1.16e+02, 5.70e+01, 4.00e+01, 1.00e-01]), array([ 45.  , 115.  , 147.  ,   0.29]), array([141.  , 177.  , 191.  ,   0.23]), array([2.28e+02, 1.97e+02, 6.10e+01, 7.00e-02]), array([225.  , 234.  , 230.  ,   0.31])]",[225. 234. 230.],0.31,0.997
catna,azulejo portugues,45808ff5-d90e-43b9-ad0d-1244c747b49a,31.12,34.99,45.04,1.37,porcelain,gloss,"[array([38.  , 46.  , 84.  ,  0.11]), array([ 83.  ,  92.  , 125.  ,   0.18]), array([129.  , 133.  , 152.  ,   0.19]), array([176.  , 177.  , 182.  ,   0.19]), array([223.  , 220.  , 209.  ,   0.32])]",[223. 220. 209.],0.32,0.998
catna,azulejo portugues,d2114c6f-c0f4-479d-bca0-a71e3731731f,26.18,34.54,24.54,1.67,limestone,gloss,"[array([7.70e+01, 8.60e+01, 1.08e+02, 4.00e-02]), array([1.34e+02, 1.44e+02, 1.59e+02, 7.00e-02]), array([1.84e+02, 1.89e+02, 1.90e+02, 1.10e-01]), array([222. , 222. , 218. ,   0.4]), array([238.  , 239.  , 239.  ,   0.38])]",[222. 222. 218.],0.4,0.997
catna,azulejo portugues,c4d1f998-7adb-4430-98e3-79ee94b63899,29.44,45.8,22.72,0.74,terracotta,matt,"[array([92.  , 78.  , 89.  ,  0.14]), array([122.  , 139.  , 158.  ,   0.24]), array([1.98e+02, 1.55e+02, 9.60e+01, 6.00e-02]), array([181.  , 186.  , 193.  ,   0.27]), array([231.  , 232.  , 229.  ,   0.29])]",[231. 232. 229.],0.29,0.997
catna,azulejo portugues,926de7c8-e38a-4573-97a1-77b00b3b86ee,19.2,25.88,47.1,1.11,glass,gloss,"[array([ 40.  , 131.  , 217.  ,   0.29]), array([7.20e+01, 1.34e+02, 1.81e+02, 1.60e-01]), array([1.18e+02, 1.76e+02, 2.11e+02, 1.30e-01]), array([1.69e+02, 2.19e+02, 2.40e+02, 1.30e-01]), array([244. , 251. , 249. ,   0.3])]",[244. 251. 249.],0.3,0.9940000000000001
catna,azulejo portugues,c51bc479-4a75-4e92-98bb-c9205e44ac18,32.62,23.03,14.53,0.86,stone,matt,"[array([ 51.  ,  82.  , 121.  ,   0.15]), array([1.29e+02, 1.05e+02, 8.70e+01, 1.10e-01]), array([1.43e+02, 1.54e+02, 1.65e+02, 1.60e-01]), array([206.  , 200.  , 194.  ,   0.28]), array([242.  , 243.  , 242.  ,   0.31])]",[242. 243. 242.],0.31,0.998
catna,azulejo portugues,a915dc23-9fec-45df-b809-4a087ce6837c,10.51,16.14,26.11,0.9,porcelain,matt,"[array([ 61.  ,  79.  , 104.  ,   0.12]), array([ 85.  , 103.  , 136.  ,   0.36]), array([135.  , 147.  , 164.  ,   0.17]), array([1.83e+02, 1.92e+02, 1.98e+02, 1.40e-01]), array([2.26e+02, 2.31e+02, 2.28e+02, 2.00e-01])]",[ 85. 103. 136.],0.36,0.998
catna,azulejo portugues,e6c3b8ba-6178-4864-adbe-5cb5fc72f4aa,23.42,30.81,47.77,1.33,porcelain,matt,"[array([27.  , 80.  , 87.  ,  0.23]), array([1.02e+02, 1.28e+02, 1.24e+02, 1.10e-01]), array([139.  , 170.  , 167.  ,   0.21]), array([2.01e+02, 2.01e+02, 1.97e+02, 1.50e-01]), array([232. , 227. , 225. ,   0.3])]",[232. 227. 225.],0.3,0.998
catna,azulejo portugues,4c58b086-c7cb-4dc9-857b-8a3c08cfcfb2,26.84,30.41,33.72,0.94,porcelain,matt,"[array([4.0e+01, 6.5e+01, 1.3e+02, 1.2e-01]), array([ 82.  , 109.  , 168.  ,   0.17]), array([1.33e+02, 1.51e+02, 1.88e+02, 1.40e-01]), array([1.88e+02, 1.98e+02, 2.17e+02, 1.40e-01]), array([233.  , 235.  , 236.  ,   0.43])]",[233. 235. 236.],0.43,0.998
catna,azulejo portugues,7fa53ac5-2e5d-41d1-a2c5-c613a365185f,37.79,36.83,28.73,1.18,marble,gloss,"[array([56.  , 55.  , 96.  ,  0.12]), array([108. , 113. , 155. ,   0.2]), array([1.46e+02, 1.57e+02, 2.13e+02, 2.00e-01]), array([1.98e+02, 1.99e+02, 2.14e+02, 1.50e-01]), array([244.  , 245.  , 247.  ,   0.33])]",[244. 245. 247.],0.33,0.996
catna,azulejo portugues,21997d9a-b678-4453-804d-ae3841f8e486,16.94,30.2,30.22,0.83,ceramic,matt,"[array([51.  , 46.  , 49.  ,  0.06]), array([103.  ,  99.  , 107.  ,   0.12]), array([152.  , 149.  , 157.  ,   0.19]), array([193.  , 192.  , 195.  ,   0.31]), array([227.  , 228.  , 231.  ,   0.32])]",[227. 228. 231.],0.32,0.998
catna,azulejo portugues,36d43cde-4466-4686-9fe8-9fdfb4108b26,32.43,45.65,17.17,0.87,limestone,gloss,"[array([51.  , 54.  , 50.  ,  0.13]), array([111.  , 105.  ,  73.  ,   0.21]), array([111.  , 132.  , 130.  ,   0.21]), array([171.  , 165.  , 139.  ,   0.31]), array([2.11e+02, 2.10e+02, 1.96e+02, 1.40e-01])]",[171. 165. 139.],0.31,0.998
catna,azulejo portugues,1a07d59f-bf22-4e20-89c9-8fa11d9e0560,13.78,23.39,21.09,1.08,wood,gloss,"[array([4.90e+01, 4.40e+01, 1.09e+02, 8.00e-02]), array([ 91.  ,  85.  , 158.  ,   0.16]), array([1.29e+02, 1.25e+02, 1.84e+02, 1.80e-01]), array([1.83e+02, 1.82e+02, 2.03e+02, 1.00e-01]), array([241.  , 242.  , 241.  ,   0.47])]",[241. 242. 241.],0.47,0.996
catna,azulejo portugues,4fc186e0-1ee3-40cd-93f7-c4a20a620527,13.42,24.53,23.41,0.83,limestone,matt,"[array([76.  , 68.  , 62.  ,  0.15]), array([118.  , 109.  , 101.  ,   0.33]), array([146.  , 155.  , 152.  ,   0.18]), array([197. , 194. , 186. ,   0.2]), array([2.29e+02, 2.30e+02, 2.31e+02, 1.50e-01])]",[118. 109. 101.],0.33,0.998
catna,azulejo portugues,ee12b4e9-a31e-412a-bbf8-ac21bd9fbc51,20.16,21.39,12.97,0.05,ceramic,matt,"[array([ 50.  ,  52.  , 136.  ,   0.43]), array([1.53e+02, 1.43e+02, 7.40e+01, 1.00e-01]), array([1.51e+02, 1.50e+02, 1.66e+02, 1.30e-01]), array([2.39e+02, 2.26e+02, 5.00e+01, 1.50e-01]), array([2.36e+02, 2.34e+02, 2.23e+02, 1.90e-01])]",[ 50.  52. 136.],0.43,0.998
catna,azulejo portugues,6febf245-3ba1-4de4-8df6-b413762dbe4f,18.61,40.62,10.72,1.45,quartz,matt,"[array([82.  , 48.  , 44.  ,  0.19]), array([178.  ,  90.  ,  59.  ,   0.22]), array([1.92e+02, 1.62e+02, 1.43e+02, 1.90e-01]), array([2.31e+02, 1.59e+02, 7.30e+01, 2.10e-01]), array([2.41e+02, 2.28e+02, 2.16e+02, 1.90e-01])]",[178.  90.  59.],0.22,0.997
catna,azulejo portugues,95b6562f-84ab-453a-ab68-0a52f1a63e0c,20.63,6.36,30.79,0.89,wood,matt,"[array([ 34.  ,  56.  , 108.  ,   0.19]), array([ 61.  ,  98.  , 160.  ,   0.23]), array([1.20e+02, 1.52e+02, 1.68e+02, 1.60e-01]), array([1.84e+02, 1.93e+02, 1.98e+02, 1.40e-01]), array([235.  , 235.  , 231.  ,   0.28])]",[235. 235. 231.],0.28,0.998
catna,azulejo portugues,52f231a1-d208-459b-bc87-b05f9c98a06a,47.35,22.22,45.89,0.55,ceramic,gloss,"[array([ 57.  ,  78.  , 157.  ,   0.33]), array([1.45e+02, 1.54e+02, 1.97e+02, 1.10e-01]), array([2.24e+02, 2.02e+02, 2.40e+01, 1.20e-01]), array([2.31e+02, 2.14e+02, 1.26e+02, 5.00e-02]), array([236.  , 228.  , 232.  ,   0.39])]",[236. 228. 232.],0.39,0.998
catna,azulejo portugues,eeefb175-1abf-42ef-9083-865fbdb53c66,44.78,33.3,26.68,0.51,glass,matt,"[array([57.  , 68.  , 91.  ,  0.16]), array([1.12e+02, 1.22e+02, 1.47e+02, 1.10e-01]), array([1.74e+02, 1.80e+02, 1.89e+02, 6.00e-02]), array([2.32e+02, 2.20e+02, 1.95e+02, 1.60e-01]), array([246.  , 245.  , 241.  ,   0.51])]",[246. 245. 241.],0.51,0.997
catna,azulejo portugues,976eae53-29a4-4d5c-bbba-bf2ca6f00695,29.65,28.28,45.7,0.49,quartz,matt,"[array([48.  , 56.  , 68.  ,  0.12]), array([106.  , 116.  , 132.  ,   0.17]), array([146.  , 157.  , 174.  ,   0.25]), array([1.89e+02, 1.98e+02, 2.10e+02, 1.90e-01]), array([235.  , 240.  , 244.  ,   0.27])]",[235. 240. 244.],0.27,0.996
catna,azulejo portugues,08627418-498b-4513-9b80-86264053df60,35.5,11.97,27.93,0.08,stone,gloss,"[array([83.  , 65.  , 56.  ,  0.09]), array([176.  , 127.  ,  80.  ,   0.21]), array([1.12e+02, 1.41e+02, 1.36e+02, 1.20e-01]), array([199.  , 183.  , 142.  ,   0.31]), array([230.  , 227.  , 198.  ,   0.27])]",[199. 183. 142.],0.31,0.998
catna,azulejo portugues,b9414c42-77ee-4f4e-aa75-bbb7bc61492d,8.35,13.55,14.01,0.48,quartz,gloss,"[array([3.  , 1.  , 2.  , 0.29]), array([81.  , 54.  , 58.  ,  0.12]), array([120.  , 103.  , 107.  ,   0.19]), array([158.  , 151.  , 152.  ,   0.19]), array([193.  , 187.  , 191.  ,   0.21])]",[3. 1. 2.],0.29,0.998
catna,azulejo portugues,b4f617e3-aa9b-4aea-96a0-8a37bab616a1,17.98,45.48,28.35,0.33,ceramic,gloss,"[array([ 71.  ,  94.  , 141.  ,   0.26]), array([1.16e+02, 1.32e+02, 1.60e+02, 1.40e-01]), array([1.54e+02, 1.68e+02, 1.90e+02, 1.40e-01]), array([1.91e+02, 2.03e+02, 2.16e+02, 1.40e-01]), array([233.  , 236.  , 233.  ,   0.32])]",[233. 236. 233.],0.32,0.998
catna,azulejo portugues,b78c9a3c-db4c-426b-99fb-c5de348f5cb3,20.91,29.63,26.68,0.19,terracotta,matt,"[array([ 38.  ,  59.  , 132.  ,   0.48]), array([8.90e+01, 1.03e+02, 1.43e+02, 8.00e-02]), array([1.42e+02, 1.54e+02, 1.80e+02, 7.00e-02]), array([1.96e+02, 2.05e+02, 2.19e+02, 8.00e-02]), array([245.  , 248.  , 246.  ,   0.28])]",[ 38.  59. 132.],0.48,0.997
catna,azulejo portugues,ae0ba8f8-2ea2-4e62-9456-678cd8ff054f,31.4,24.56,25.73,1.16,ceramic,gloss,"[array([40.  , 45.  , 71.  ,  0.13]), array([ 90.  , 106.  , 145.  ,   0.17]), array([1.45e+02, 1.27e+02, 8.70e+01, 1.20e-01]), array([167.  , 171.  , 174.  ,   0.25]), array([225.  , 226.  , 217.  ,   0.33])]",[225. 226. 217.],0.33,0.998
catna,azulejo portugues,ee057bdd-11b0-4072-850b-2d9714a9a14e,20.72,36.34,48.13,0.68,granite,gloss,"[array([62.  , 53.  , 37.  ,  0.24]), array([86.  , 82.  , 70.  ,  0.23]), array([113.  , 118.  , 115.  ,   0.18]), array([157.  , 154.  , 145.  ,   0.24]), array([1.90e+02, 2.00e+02, 2.06e+02, 1.00e-01])]",[62. 53. 37.],0.24,0.998
